ID,Groups,Scen_Danger,Demo_Confidence,Demo_Objectivity,Interv_Human,Interv_AI,Perc
1862,I,Medium,3,4,2,2,4.0
1940,E,High,4,3,1,2,3.0
2106,B,Medium,3,4,1,1,3.0
2513,A,Medium,4,5,2,2,3.67
2620,L,High,4,4,2,2,4.33
2749,G,Medium,4,4,1,2,4.2
2770,G,Medium,2,4,1,2,4.0
2887,J,Medium,3,4,2,2,3.8
2893,B,High,3,4,1,1,4.67
3122,B,High,1,1,1,1,3.33
3196,K,Medium,4,4,2,2,5.0
3230,C,High,3,4,1,1,3.4
3232,H,High,4,2,1,1,4.33
3291,I,High,4,4,2,2,2.5
3307,K,High,4,5,2,2,5.0
3323,K,High,4,5,1,2,5.0
3327,F,Medium,4,5,3,1,3.5
3337,C,Medium,4,4,2,2,5.0
3378,L,High,5,5,2,2,5.0
3490,E,Medium,3,4,2,1,5.0
3502,F,High,4,4,1,1,3.8
3554,H,Medium,2,2,1,2,3.67
3604,K,High,4,4,2,1,4.2
3609,C,High,2,4,1,2,4.2
3702,C,High,5,5,1,2,3.5
3939,F,High,3,4,1,2,3.4
3940,H,Medium,4,5,2,3,3.67
3968,D,Medium,4,4,1,2,4.0
3986,B,High,5,5,2,1,4.6
4014,J,High,4,4,2,2,3.5
4081,L,High,4,2,1,4,4.0
4161,A,High,2,4,1,1,4.0
4207,G,Medium,3,5,2,2,4.0
4261,D,Medium,4,5,1,2,4.43
4262,D,High,4,4,2,1,3.33
4325,B,Medium,3,2,2,2,3.0
4555,B,High,4,5,2,2,4.33
4562,C,Medium,3,5,2,2,5.0
4589,G,High,4,4,2,2,3.5
4595,F,High,4,4,1,2,4.6
4649,G,High,2,4,2,1,4.5
4660,J,Medium,5,4,2,1,4.2
4933,L,High,4,4,2,1,4.33
5042,E,High,3,3,2,2,4.33
5462,A,High,3,4,2,2,3.0
5575,L,Medium,3,2,2,2,2.2
5736,I,Medium,3,4,1,3,4.5
6034,K,Medium,4,5,2,3,3.0
6162,D,High,4,4,1,2,4.2
